assessment_score,current_proficiency,required_proficiency,gap_percent,project_count,certification_count,role_importance,skill_category,gap_level
42.72,40.49,61.1,33.74,1,2,1.0,Programming,MEDIUM
0.0,7.94,63.43,87.48,0,0,0.964,Database,HIGH
33.96,35.76,62.74,42.99,0,0,0.835,General,MEDIUM
41.61,39.29,72.89,46.1,1,0,0.874,Backend,MEDIUM
15.6,25.72,70.16,63.34,0,0,1.0,Security,HIGH
23.9,24.83,75.91,67.29,0,0,0.864,Programming,HIGH
37.53,46.58,67.23,30.72,1,2,1.0,Software Engineering,MEDIUM
38.7,31.55,69.66,54.71,0,0,0.891,Database,HIGH
30.9,32.39,67.65,52.12,0,0,0.898,General,HIGH
64.16,64.77,90.85,28.71,4,1,1.0,Security,MEDIUM
51.56,51.41,67.61,23.96,0,0,0.805,Security,MEDIUM
7.57,11.58,70.95,83.67,2,1,0.965,General,HIGH
51.35,53.97,73.4,26.48,1,2,0.631,Testing,MEDIUM
11.3,17.72,72.76,75.65,1,0,0.787,Artificial Intelligence,HIGH
52.99,53.21,76.23,30.2,1,1,0.777,DevOps,MEDIUM
25.74,25.8,72.41,64.37,0,0,0.807,Database,HIGH
72.08,83.29,78.19,0.0,2,1,1.0,DevOps,LOW
5.64,5.09,78.99,93.56,1,0,1.0,Software Engineering,HIGH
9.24,11.81,70.71,83.29,2,0,0.977,Programming,HIGH
42.73,44.38,80.46,44.84,3,0,0.963,Backend,MEDIUM
74.42,64.68,67.38,4.0,0,0,0.827,Backend,LOW
23.84,29.55,86.78,65.95,0,0,1.0,DevOps,HIGH
45.45,53.09,73.79,28.06,0,0,0.992,General,MEDIUM
88.91,73.74,75.15,1.87,0,0,0.693,Backend,LOW
82.1,84.02,73.47,0.0,4,0,0.884,Database,LOW
13.75,9.89,75.82,86.95,3,0,0.835,DevOps,HIGH
53.64,65.76,75.92,13.38,2,2,0.794,Artificial Intelligence,LOW
42.75,35.77,71.23,49.78,1,0,1.0,Security,MEDIUM
64.85,64.66,72.44,10.74,3,2,1.0,Security,LOW
29.2,29.52,66.32,55.49,1,1,0.736,Database,HIGH
34.95,34.43,71.22,51.65,1,0,0.871,Testing,HIGH
30.44,13.29,70.36,81.11,2,0,0.976,Testing,HIGH
31.97,38.15,68.44,44.26,0,0,1.0,DevOps,MEDIUM
48.12,40.78,89.12,54.24,2,0,0.818,General,HIGH
48.8,33.83,61.13,44.66,0,0,0.645,Testing,MEDIUM
49.64,61.08,69.16,11.68,1,0,0.907,Database,LOW
65.69,61.99,86.78,28.57,0,1,0.928,DevOps,MEDIUM
50.53,60.44,69.01,12.42,1,1,0.884,Testing,LOW
27.01,30.73,67.02,54.15,0,1,0.993,Security,HIGH
47.67,43.02,64.46,33.26,1,0,0.99,Artificial Intelligence,MEDIUM
53.67,63.43,84.88,25.27,4,2,1.0,Security,MEDIUM
63.62,61.03,77.45,21.2,3,0,0.884,Software Engineering,MEDIUM
63.25,58.26,81.26,28.31,0,0,1.0,General,MEDIUM
34.64,28.21,58.28,51.59,0,0,1.0,Backend,HIGH
21.64,25.7,75.86,66.13,0,1,0.939,Database,HIGH
65.85,67.56,76.18,11.32,4,1,0.918,Backend,LOW
21.14,27.76,79.61,65.14,1,1,1.0,Backend,HIGH
29.34,21.47,68.79,68.78,1,0,0.953,Database,HIGH
58.89,44.01,81.98,46.32,3,0,1.0,Artificial Intelligence,MEDIUM
6.33,17.17,63.53,72.98,0,0,0.67,Programming,HIGH
55.12,51.18,72.9,29.79,5,2,0.891,Backend,MEDIUM
46.15,35.32,65.74,46.27,4,0,0.851,Artificial Intelligence,MEDIUM
43.27,56.06,70.38,20.34,0,2,1.0,Data Science,MEDIUM
47.4,53.39,82.33,35.16,2,1,1.0,Programming,MEDIUM
64.49,53.54,76.33,29.85,1,0,0.792,Database,MEDIUM
50.24,44.5,79.55,44.06,2,1,0.848,Artificial Intelligence,MEDIUM
25.55,42.09,84.37,50.12,1,0,0.989,Programming,HIGH
8.89,13.0,80.93,83.94,1,0,0.873,Testing,HIGH
9.36,10.21,65.76,84.47,0,0,0.776,Artificial Intelligence,HIGH
52.13,48.02,79.18,39.36,0,2,1.0,DevOps,MEDIUM
28.82,33.06,79.91,58.63,0,0,0.931,General,HIGH
16.5,9.69,59.99,83.85,2,0,0.681,Programming,HIGH
29.48,35.53,55.15,35.57,0,0,0.679,Programming,MEDIUM
16.08,14.33,61.81,76.81,1,0,0.959,Database,HIGH
35.95,39.47,90.99,56.62,0,0,1.0,Artificial Intelligence,HIGH
59.37,70.56,79.41,11.15,0,0,1.0,General,LOW
10.89,17.52,74.94,76.62,1,0,0.935,General,HIGH
44.75,42.85,73.12,41.39,0,0,0.933,Backend,MEDIUM
38.14,51.49,70.79,27.26,1,0,0.965,Artificial Intelligence,MEDIUM
